official_id,query_name,scale_label,run_phase,best_config,best_group,best_design_pattern,best_p95_ms,best_avg_latency_ms,best_p99_ms,avg_documents_returned,avg_documents_written
IC1,IC1_TransitiveFriendsWithName,sf3,hot,G3,primary,root_with_references_or_summaries,260.0222475040937,235.56910699990112,261.7502655024873,250.0,0.0
IC2,IC2_RecentMessagesByFriends,sf3,hot,G0,primary,root_with_references,36.10532139864517,34.69517409685068,36.2645738813444,1902.4,0.0
IC3,IC3_FriendsAndFriendsOfFriendsInCountries,sf3,hot,G0,primary,root_with_references,205.56545419531176,178.6167726997519,207.1016980314744,1638.2,0.0
IC4,IC4_NewTopics,sf3,hot,G0,primary,root_with_references,45.1884718509973,41.50930570613127,45.43584476952674,1103.6,0.0
IC5,IC5_NewGroups,sf3,hot,G7,secondary_affected,containment_baseline,193.8014049548656,181.1333388031926,195.3643265971914,6556.5,0.0
IC6,IC6_TagCoOccurrence,sf3,hot,G0,primary,root_with_references,253.19213405746268,227.87064670410476,253.95016122522065,1026.4,0.0
IC7,IC7_RecentLikers,sf3,hot,G4,secondary_affected,explicit_edge_collection,8.036814247316215,7.778930393396877,8.039073243562598,58.6,0.0
INS1,INS1_AddPerson,sf3,hot,G3,primary,root_with_references_or_summaries,1.432566391304135,1.1544408975169065,1.5044540772214532,0.0,1.0
INS2,INS2_AddLikeToPost,sf3,hot,G6,primary,referenced_or_reverse_indexed_edges,1.6308153048157683,1.1357534007402137,1.9715430634096267,0.0,1.0
INS3,INS3_AddLikeToComment,sf3,hot,G4,primary,explicit_edge_collection,1.3124491510097869,1.1236524005653337,1.364524228556547,0.0,1.0
INS4,INS4_AddForum,sf3,hot,G3,primary,root_with_references_or_summaries,1.4339607529109342,1.193486904958263,1.522961749578826,0.0,1.0
INS5,INS5_AddForumMembership,sf3,hot,G6,primary,referenced_or_reverse_indexed_edges,1.6525435086805365,1.1886099120602012,1.9456302898470312,0.0,1.0
INS6,INS6_AddPost,sf3,hot,G7,secondary_affected,containment_baseline,2.20732415036764,2.1643075975589454,2.221239220234565,0.0,1.0
INS7,INS7_AddComment,sf3,hot,G7,secondary_affected,containment_baseline,1.2418729689670729,1.166875718627125,1.2727354088565337,0.0,1.0
INS8,INS8_AddFriendship,sf3,hot,G3,primary,root_with_references_or_summaries,1.566860551247373,1.4670360018499196,1.6240001108963042,0.0,1.0
IS1,IS1_ProfileOfPerson,sf3,hot,G3,primary,root_with_references_or_summaries,1.229828267241828,1.1369156127329916,1.2597496708622202,2.0,0.0
IS2,IS2_RecentMessagesOfPerson,sf3,hot,G0,secondary_affected,root_with_references,2.7112717303680247,2.128314680885524,2.9357119189808145,25.0,0.0
IS3,IS3_FriendsOfPerson,sf3,hot,G0,primary,root_with_references,2.661645182524808,2.577492594718933,2.6743938686558977,196.6,0.0
IS4,IS4_ContentOfMessage,sf3,hot,G1,primary,single_entity_lookup,1.2613651109859347,1.13067920319736,1.2652034359052775,1.0,0.0
IS5,IS5_CreatorOfMessage,sf3,hot,G0,primary,root_with_references,1.4240613440051677,1.183890993706882,1.4443210745230315,2.0,0.0
IS6,IS6_ForumOfMessage,sf3,hot,G0,secondary_affected,root_with_references,1.3323502091225234,1.1988202924840152,1.3959132402669638,3.0,0.0
IS7,IS7_RepliesOfMessage,sf3,hot,G7,secondary_affected,containment_baseline,14.036817901069298,12.546377000398934,14.138531583594158,60.0,0.0
