scale_label,official_id,query_name,query_group,n_tested_configs,n_activated_configs,DSR,best_config,best_group,best_design_pattern,best_p95_ms,top1_preserved_by_activated,activated_regret,best_primary_config,best_primary_p95_ms,primary_regret
sf3,IC1,IC1_TransitiveFriendsWithName,complex_read,2,2,0.8,G3,primary,root_with_references_or_summaries,260.0222475040937,True,0.0,G3,260.0222475040937,0.0
sf3,IC2,IC2_RecentMessagesByFriends,complex_read,2,2,0.8,G0,primary,root_with_references,36.10532139864517,True,0.0,G0,36.10532139864517,0.0
sf3,IC3,IC3_FriendsAndFriendsOfFriendsInCountries,complex_read,4,4,0.6,G0,primary,root_with_references,205.56545419531176,True,0.0,G0,205.56545419531176,0.0
sf3,IC4,IC4_NewTopics,complex_read,2,2,0.8,G0,primary,root_with_references,45.1884718509973,True,0.0,G0,45.1884718509973,0.0
sf3,IC5,IC5_NewGroups,complex_read,6,6,0.4,G7,secondary_affected,containment_baseline,193.8014049548656,True,0.0,G3,205.2031500483281,0.05883210751809486
sf3,IC6,IC6_TagCoOccurrence,complex_read,2,2,0.8,G0,primary,root_with_references,253.19213405746268,True,0.0,G0,253.19213405746268,0.0
sf3,IC7,IC7_RecentLikers,complex_read,4,4,0.6,G4,secondary_affected,explicit_edge_collection,8.036814247316215,True,0.0,G0,9.72743819002062,0.21035996237799903
sf3,INS1,INS1_AddPerson,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.432566391304135,True,0.0,G3,1.432566391304135,0.0
sf3,INS2,INS2_AddLikeToPost,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.6308153048157683,True,0.0,G6,1.6308153048157683,0.0
sf3,INS3,INS3_AddLikeToComment,insert,2,2,0.8,G4,primary,explicit_edge_collection,1.3124491510097869,True,0.0,G4,1.3124491510097869,0.0
sf3,INS4,INS4_AddForum,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.4339607529109342,True,0.0,G3,1.4339607529109342,0.0
sf3,INS5,INS5_AddForumMembership,insert,2,2,0.8,G6,primary,referenced_or_reverse_indexed_edges,1.6525435086805365,True,0.0,G6,1.6525435086805365,0.0
sf3,INS6,INS6_AddPost,insert,4,4,0.6,G7,secondary_affected,containment_baseline,2.20732415036764,True,0.0,G0,2.5807798199821264,0.1691893189100865
sf3,INS7,INS7_AddComment,insert,4,4,0.6,G7,secondary_affected,containment_baseline,1.2418729689670729,True,0.0,G0,1.4061904716072602,0.13231425978846958
sf3,INS8,INS8_AddFriendship,insert,2,2,0.8,G3,primary,root_with_references_or_summaries,1.566860551247373,True,0.0,G3,1.566860551247373,0.0
sf3,IS1,IS1_ProfileOfPerson,short_read,2,2,0.8,G3,primary,root_with_references_or_summaries,1.229828267241828,True,0.0,G3,1.229828267241828,0.0
sf3,IS2,IS2_RecentMessagesOfPerson,short_read,6,6,0.4,G0,secondary_affected,root_with_references,2.7112717303680247,True,0.0,,,
sf3,IS3,IS3_FriendsOfPerson,short_read,2,2,0.8,G0,primary,root_with_references,2.661645182524808,True,0.0,G0,2.661645182524808,0.0
sf3,IS4,IS4_ContentOfMessage,short_read,2,1,0.9,G1,primary,single_entity_lookup,1.2613651109859347,True,0.0,G1,1.2613651109859347,0.0
sf3,IS5,IS5_CreatorOfMessage,short_read,2,2,0.8,G0,primary,root_with_references,1.4240613440051677,True,0.0,G0,1.4240613440051677,0.0
sf3,IS6,IS6_ForumOfMessage,short_read,4,4,0.6,G0,secondary_affected,root_with_references,1.3323502091225234,True,0.0,G7,2.3992693721083924,0.8007798217621285
sf3,IS7,IS7_RepliesOfMessage,short_read,4,4,0.6,G7,secondary_affected,containment_baseline,14.036817901069298,True,0.0,G3,21.146798258996554,0.5065236585697697
