candidate_id,query_name,official_id,final_benchmark_group,g_class,design_pattern,collection_name,root_entity,db_name,documents_inserted,loaded_collections_json,elapsed_seconds,load_status,error_message
ldbc_snb_ic1_g0_6aac8974,IC1_TransitiveFriendsWithName,IC1,primary,G0,root_with_references,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic1_g0_6aac8974,9935821,"{""persons"": 24328, ""places"": 1460, ""organisations"": 7955, ""person_knows_person"": 565247, ""person_is_located_in_place"": 24328, ""person_study_at_organisation"": 19497, ""person_work_at_organisation"": 53023, ""organisation_is_located_in_place"": 7955, ""posts"": 2597141, ""comments"": 6413095, ""forums"": 221792}",253.11607867400744,completed,
ldbc_snb_ic1_g3_89a97e97,IC1_TransitiveFriendsWithName,IC1,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic1_g3_89a97e97,9935821,"{""persons"": 24328, ""places"": 1460, ""organisations"": 7955, ""person_knows_person"": 565247, ""person_is_located_in_place"": 24328, ""person_study_at_organisation"": 19497, ""person_work_at_organisation"": 53023, ""organisation_is_located_in_place"": 7955, ""posts"": 2597141, ""comments"": 6413095, ""forums"": 221792}",252.57877832002123,completed,
ldbc_snb_ic2_g0_bcc20fff,IC2_RecentMessagesByFriends,IC2,primary,G0,root_with_references,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic2_g0_bcc20fff,18833299,"{""persons"": 24328, ""posts"": 2597141, ""comments"": 6413095, ""person_knows_person"": 565247, ""post_has_creator_person"": 2597141, ""comment_has_creator_person"": 6413095, ""forums"": 221792, ""places"": 1460}",329.39934857198386,completed,
ldbc_snb_ic2_g3_8f05f032,IC2_RecentMessagesByFriends,IC2,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic2_g3_8f05f032,18833299,"{""persons"": 24328, ""posts"": 2597141, ""comments"": 6413095, ""person_knows_person"": 565247, ""post_has_creator_person"": 2597141, ""comment_has_creator_person"": 6413095, ""forums"": 221792, ""places"": 1460}",333.4000341130013,completed,
ldbc_snb_ic3_g0_f7817cbe,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,primary,G0,root_with_references,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic3_g0_f7817cbe,27869317,"{""persons"": 24328, ""posts"": 2597141, ""comments"": 6413095, ""places"": 1460, ""person_knows_person"": 565247, ""person_is_located_in_place"": 24328, ""post_has_creator_person"": 2597141, ""comment_has_creator_person"": 6413095, ""post_is_located_in_place"": 2597141, ""comment_is_located_in_place"": 6413095, ""place_is_part_of_place"": 1454, ""forums"": 221792}",410.2182652790216,completed,
ldbc_snb_ic3_g3_f4732bc1,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic3_g3_f4732bc1,27869317,"{""persons"": 24328, ""posts"": 2597141, ""comments"": 6413095, ""places"": 1460, ""person_knows_person"": 565247, ""person_is_located_in_place"": 24328, ""post_has_creator_person"": 2597141, ""comment_has_creator_person"": 6413095, ""post_is_located_in_place"": 2597141, ""comment_is_located_in_place"": 6413095, ""place_is_part_of_place"": 1454, ""forums"": 221792}",412.54661849999684,completed,
ldbc_snb_ic3_g7_a1750f34,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,secondary_affected,G7,containment_baseline,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic3_g7_a1750f34,27869317,"{""persons"": 24328, ""posts"": 2597141, ""comments"": 6413095, ""places"": 1460, ""person_knows_person"": 565247, ""person_is_located_in_place"": 24328, ""post_has_creator_person"": 2597141, ""comment_has_creator_person"": 6413095, ""post_is_located_in_place"": 2597141, ""comment_is_located_in_place"": 6413095, ""place_is_part_of_place"": 1454, ""forums"": 221792}",411.458661955985,completed,
ldbc_snb_ic3_g9_75aa81cd,IC3_FriendsAndFriendsOfFriendsInCountries,IC3,secondary_affected,G9,hybrid_containment,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic3_g9_75aa81cd,27869317,"{""persons"": 24328, ""posts"": 2597141, ""comments"": 6413095, ""places"": 1460, ""person_knows_person"": 565247, ""person_is_located_in_place"": 24328, ""post_has_creator_person"": 2597141, ""comment_has_creator_person"": 6413095, ""post_is_located_in_place"": 2597141, ""comment_is_located_in_place"": 6413095, ""place_is_part_of_place"": 1454, ""forums"": 221792}",416.0858436129929,completed,
ldbc_snb_ic4_g0_54d8940c,IC4_NewTopics,IC4,primary,G0,root_with_references,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic4_g0_54d8940c,14666041,"{""persons"": 24328, ""posts"": 2597141, ""tags"": 16080, ""person_knows_person"": 565247, ""post_has_creator_person"": 2597141, ""post_has_tag"": 2229757, ""comments"": 6413095, ""forums"": 221792, ""places"": 1460}",299.9298331369937,completed,
ldbc_snb_ic4_g3_00df9f3e,IC4_NewTopics,IC4,primary,G3,root_with_references_or_summaries,persons,Person,ldbc_snb_sf3_exec_clean_ldbc_snb_ic4_g3_00df9f3e,14666041,"{""persons"": 24328, ""posts"": 2597141, ""tags"": 16080, ""person_knows_person"": 565247, ""post_has_creator_person"": 2597141, ""post_has_tag"": 2229757, ""comments"": 6413095, ""forums"": 221792, ""places"": 1460}",304.78556282501086,completed,
