scale_label,official_id,official_sort,query_name,query_group,semantic_family,n_tested_configs,n_activated_configs,DSR,tested_configs,activated_configs,best_candidate_id,best_config,best_group,best_design_pattern,best_p95_ms,best_activated_candidate_id,best_activated_config,best_activated_group,best_activated_design_pattern,best_activated_p95_ms,top1_preserved_by_activated,top3_preserved_by_activated,activated_regret,n_near_best,near_best_configs,near_best_ratio,near_best_preserved_by_activated,best_primary_config,best_primary_p95_ms,primary_regret,activation_source
sf10,Q1,1,Q1_CompanyProfileIBM,local_lookup,association,2,1,0.9,"CONTROL,G0",G0,q1_company_profile_ibm__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,0.2957840100862086,q1_company_profile_ibm__g0__root_only,G0,primary,root_only_collection,0.3418366715777665,False,True,0.15569692722110126,1,CONTROL,0.5,False,G0,0.3418366715777665,0.15569692722110126,catalog:final_benchmark_group
sf10,Q2,2,Q2_CompanyWithIndustryCountryAndListedSecurities,shallow_rooted_retrieval,association,6,5,0.5,"CONTROL,G1,G3,G5,G7,G9","G1,G3,G5,G7,G9",q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,primary,embedded_descriptors,0.1553680398501455,q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,G1,primary,embedded_descriptors,0.1553680398501455,True,True,0.0,1,G1,0.16666666666666666,True,G1,0.1553680398501455,0.0,catalog:final_benchmark_group
sf10,Q3,3,Q3_SecuritiesHeldInEachFinancialServiceAccount,associative_retrieval,associative,7,6,0.4,"CONTROL,G2,G3,G4,G5,G7,G9","G2,G3,G4,G5,G7,G9",q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,primary,deep_nested_document,0.8991432900074869,q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,G4,primary,deep_nested_document,0.8991432900074869,True,True,0.0,2,"G2,G4",0.2857142857142857,True,G4,0.8991432900074869,0.0,catalog:final_benchmark_group
sf10,Q4,4,Q4_CompaniesReachedFromPersonThroughAccountHoldingListedSecurity,deep_associative_traversal,associative,7,6,0.4,"CONTROL,G2,G3,G4,G5,G7,G9","G2,G3,G4,G5,G7,G9",q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,4.308413300896064,q4_companies_reached_from_person_through_account_holding_listed_security__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,4.308413300896064,True,True,0.0,3,"G2,G4,G5",0.42857142857142855,True,G5,4.308413300896064,0.0,catalog:final_benchmark_group
sf10,Q5,5,Q5_ReportsAndMetricDataOfCompany,analytical_containment_like,analytical_containment_like,4,3,0.7,"CONTROL,G2,G4,G9","G2,G4,G9",q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,28.43278254731557,q5_reports_and_metric_data_of_company__g9__tradeoff_benchmark_candidate,G9,secondary_affected,benchmark_tradeoff_alternative,28.43278254731557,True,True,0.0,1,G9,0.25,True,G2,47.67655749456024,0.676816449998192,catalog:final_benchmark_group
sf10,Q6,6,Q6_TechUSListedSecuritiesWithHighLastTradedValue,filtered_search,association,6,5,0.5,"CONTROL,G1,G3,G5,G7,G9","G1,G3,G5,G7,G9",q6_tech_uslisted_securities_with_high_last_traded_value__control__normalized_reference_baseline,CONTROL,control,normalized_reference_baseline,91.47433224134149,q6_tech_uslisted_securities_with_high_last_traded_value__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,152.9015781241469,False,True,0.6715243979123972,1,CONTROL,0.16666666666666666,False,G5,152.9015781241469,0.6715243979123972,catalog:final_benchmark_group
sf10,Q7,7,Q7_PersonsWhoBoughtMoreIBMThanSold,aggregation,associative,8,7,0.30000000000000004,"CONTROL,G2,G3,G4,G5,G6,G7,G9","G2,G3,G4,G5,G6,G7,G9",q7_persons_who_bought_more_ibmthan_sold__g6__materialized_query_view,G6,primary,aggregation_materialized_collection,0.8576980675570667,q7_persons_who_bought_more_ibmthan_sold__g6__materialized_query_view,G6,primary,aggregation_materialized_collection,0.8576980675570667,True,True,0.0,2,"G5,G6",0.25,True,G6,0.8576980675570667,0.0,catalog:final_benchmark_group
sf10,Q8,8,Q8_IBMTransactionsBelowAverageSellingPrice,aggregation,associative,6,5,0.5,"CONTROL,G3,G5,G6,G7,G9","G3,G5,G6,G7,G9",q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,0.9216521284542978,q8_ibmtransactions_below_average_selling_price__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,0.9216521284542978,True,True,0.0,2,"G5,G7",0.3333333333333333,True,G5,0.9216521284542978,0.0,catalog:final_benchmark_group
sf10,Q9,9,Q9_PersonsWhoBoughtAndSoldSameStock,associative_comparison,associative,7,6,0.4,"CONTROL,G2,G3,G4,G5,G7,G9","G2,G3,G4,G5,G7,G9",q9_persons_who_bought_and_sold_same_stock__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,1.0568699159193784,q9_persons_who_bought_and_sold_same_stock__g5__shared_targets_as_references,G5,primary,shared_target_reference_strategy,1.0568699159193784,True,True,0.0,5,"G2,G3,G4,G5,G7",0.7142857142857143,True,G5,1.0568699159193784,0.0,catalog:final_benchmark_group
sf10,Q10,10,Q10_CreateAccountHoldingAndBuyTransaction,insert_update,update,7,6,0.4,"CONTROL,G2,G3,G4,G5,G7,G9","G2,G3,G4,G5,G7,G9",q10_create_account_holding_and_buy_transaction__g3__association_references,G3,primary,association_references,0.4270611854735761,q10_create_account_holding_and_buy_transaction__g3__association_references,G3,primary,association_references,0.4270611854735761,True,True,0.0,2,"G2,G3",0.2857142857142857,True,G3,0.4270611854735761,0.0,catalog:final_benchmark_group
