candidate_id,collection_name,root_entity,documents_inserted,elapsed_seconds,load_status
q10_create_account_holding_and_buy_transaction__control__normalized_reference_baseline,persons_normalized_baseline,Person,50100,9.918115635984577,completed
q10_create_account_holding_and_buy_transaction__g2__embed_containment_children,persons_with_containment,Person,50100,5.059327119961381,completed
q10_create_account_holding_and_buy_transaction__g3__association_references,persons_with_references,Person,50100,9.088212577975355,completed
q10_create_account_holding_and_buy_transaction__g4__deep_nested_path,persons_deep_nested,Person,50100,23.348339932970703,completed
q10_create_account_holding_and_buy_transaction__g5__shared_targets_as_references,persons_shared_refs,Person,50100,9.606995678972453,completed
q10_create_account_holding_and_buy_transaction__g7__update_aware_references,persons_update_aware,Person,50100,10.533006648067385,completed
q10_create_account_holding_and_buy_transaction__g9__tradeoff_benchmark_candidate,persons_tradeoff,Person,50100,10.068570947973058,completed
q1_company_profile_ibm__control__normalized_reference_baseline,corporations_normalized_baseline,Corporation,69720,5.335335846059024,completed
q1_company_profile_ibm__g0__root_only,corporations,Corporation,69720,5.319762128056027,completed
q2_company_with_industry_country_and_listed_securities__control__normalized_reference_baseline,corporations_normalized_baseline,Corporation,69720,3211.0511534740217,completed
q2_company_with_industry_country_and_listed_securities__g1__embed_descriptors,corporations_with_descriptors,Corporation,69720,33.099847927107476,completed
q2_company_with_industry_country_and_listed_securities__g3__association_references,corporations_with_references,Corporation,69720,3201.965207012021,completed
q2_company_with_industry_country_and_listed_securities__g5__shared_targets_as_references,corporations_shared_refs,Corporation,69720,3233.5296192179667,completed
q2_company_with_industry_country_and_listed_securities__g7__update_aware_references,corporations_update_aware,Corporation,69720,3246.7410286180675,completed
q2_company_with_industry_country_and_listed_securities__g9__tradeoff_benchmark_candidate,corporations_tradeoff,Corporation,69720,3246.7195303899935,completed
q3_securities_held_in_each_financial_service_account__control__normalized_reference_baseline,financial_service_accounts_normalized_baseline,FinancialServiceAccount,97270,28.17238682601601,completed
q3_securities_held_in_each_financial_service_account__g2__embed_containment_children,financial_service_accounts_with_containment,FinancialServiceAccount,97270,106.51582275494002,completed
q3_securities_held_in_each_financial_service_account__g3__association_references,financial_service_accounts_with_references,FinancialServiceAccount,97270,9.422506226110272,completed
q3_securities_held_in_each_financial_service_account__g4__deep_nested_path,financial_service_accounts_deep_nested,FinancialServiceAccount,97270,108.1059455430368,completed
q3_securities_held_in_each_financial_service_account__g5__shared_targets_as_references,financial_service_accounts_shared_refs,FinancialServiceAccount,97270,27.473437366075814,completed
q3_securities_held_in_each_financial_service_account__g7__update_aware_references,financial_service_accounts_update_aware,FinancialServiceAccount,97270,28.423193357069977,completed
q3_securities_held_in_each_financial_service_account__g9__tradeoff_benchmark_candidate,financial_service_accounts_tradeoff,FinancialServiceAccount,97270,28.366547695011832,completed
q4_companies_reached_from_person_through_account_holding_listed_security__control__normalized_reference_baseline,persons_normalized_baseline,Person,50100,9.614139528945088,completed
q4_companies_reached_from_person_through_account_holding_listed_security__g2__embed_containment_children,persons_with_containment,Person,50100,4.636783475987613,completed
q4_companies_reached_from_person_through_account_holding_listed_security__g3__association_references,persons_with_references,Person,50100,8.587362762889825,completed
q4_companies_reached_from_person_through_account_holding_listed_security__g4__deep_nested_path,persons_deep_nested,Person,50100,23.610040575964376,completed
